Value of px1= 12, px2= 10, abs(px1-px2)= 2, MIN= 14 
Value of px1= 12, px2= 11, abs(px1-px2)= 1, MIN= 14 
Value of px1= 12, px2= 12, abs(px1-px2)= 0, MIN= 14 
Value of px1= 13, px2= 0, abs(px1-px2)= 13, MIN= 13 
Value of px1= 13, px2= 1, abs(px1-px2)= 12, MIN= 14 
Value of px1= 13, px2= 2, abs(px1-px2)= 11, MIN= 14 
Value of px1= 13, px2= 3, abs(px1-px2)= 10, MIN= 14 
Value of px1= 13, px2= 4, abs(px1-px2)= 9, MIN= 14 
Value of px1= 13, px2= 5, abs(px1-px2)= 8, MIN= 14 
Value of px1= 13, px2= 6, abs(px1-px2)= 7, MIN= 14 
Value of px1= 13, px2= 7, abs(px1-px2)= 6, MIN= 14 
Value of px1= 13, px2= 8, abs(px1-px2)= 5, MIN= 14 
Value of px1= 13, px2= 9, abs(px1-px2)= 4, MIN= 14 
Value of px1= 13, px2= 10, abs(px1-px2)= 3, MIN= 14 
Value of px1= 13, px2= 11, abs(px1-px2)= 2, MIN= 14 
Value of px1= 13, px2= 12, abs(px1-px2)= 1, MIN= 14 
Value of px1= 13, px2= 13, abs(px1-px2)= 0, MIN= 14 
Value of px1= 14, px2= 0, abs(px1-px2)= 14, MIN= 14 
Value of px1= 14, px2= 1, abs(px1-px2)= 13, MIN= 14 
Value of px1= 14, px2= 2, abs(px1-px2)= 12, MIN= 14 
Value of px1= 14, px2= 3, abs(px1-px2)= 11, MIN= 14 
Value of px1= 14, px2= 4, abs(px1-px2)= 10, MIN= 14 
Value of px1= 14, px2= 5, abs(px1-px2)= 9, MIN= 14 
Value of px1= 14, px2= 6, abs(px1-px2)= 8, MIN= 14 
Value of px1= 14, px2= 7, abs(px1-px2)= 7, MIN= 14 
Value of px1= 14, px2= 8, abs(px1-px2)= 6, MIN= 14 
Value of px1= 14, px2= 9, abs(px1-px2)= 5, MIN= 14 
Value of px1= 14, px2= 10, abs(px1-px2)= 4, MIN= 14 
Value of px1= 14, px2= 11, abs(px1-px2)= 3, MIN= 14 
Value of px1= 14, px2= 12, abs(px1-px2)= 2, MIN= 14 
Value of px1= 14, px2= 13, abs(px1-px2)= 1, MIN= 14 
Value of px1= 14, px2= 14, abs(px1-px2)= 0, MIN= 14 
